50, 36,6, 35,7, 38,3, 38,3, 2013
50, 40,0, 40,0, 40,0, 40,0, 2014
50, 40,0, 45,0, 45,0, 43,0, 2015
60, 30,8, 30,7, 3,3, 35,0, 2013
60, 35,0, 35,4, 36,0, 36,5, 2014
60, 36,5, 35,0, 35,0, 36,0, 2015
70, 50,8, 45,0, 49,2, 51,6, 2013
70, 50,5, 52,0, 51,6, 52,2, 2014
70, 52,2, 55,0, 54,3, 55,0, 2015
80, 880,0, 933,3, 920,0, 983,3, 2013
80, 990,0, 995,0, 1000,0, 1000,0, 2014
80, 1000,0, 1005,0, 1005,0, 1005,0, 2015
90, 265,0, 264,2, 288,2, 305,0, 2013
90, 310,2, 310,2, 312,5, 313,4, 2014
90, 313,4, 315,2, 316,5, 316,5, 2015
100, 67,5, 72,8, 68,0, 86,6, 2013
100, 86,5, 86,5, 88,2, 88,2, 2014
100, 89,5, 90,5, 95,6, 95,6, 2015
